query_id,rtree_us,brute_us,hits,denom,recall
0,2660,709,10,10,1
1,2651,635,10,10,1
2,2643,569,10,10,1
3,2641,565,10,10,1
4,2656,564,10,10,1
5,2619,564,10,10,1
6,2361,504,10,10,1
7,2282,535,10,10,1
8,2327,508,10,10,1
9,2341,517,10,10,1
10,2357,538,10,10,1
11,2449,514,10,10,1
12,2374,545,10,10,1
13,2496,551,10,10,1
14,2702,963,10,10,1
15,3184,579,10,10,1
16,2864,612,10,10,1
17,2387,565,10,10,1
18,2362,576,10,10,1
19,2510,559,10,10,1
20,2332,576,10,10,1
21,2529,515,10,10,1
22,2316,506,10,10,1
23,2369,509,10,10,1
24,2342,511,10,10,1
25,2437,503,10,10,1
26,2299,509,10,10,1
27,2478,510,10,10,1
28,2389,571,10,10,1
29,2340,529,10,10,1
30,2441,538,10,10,1
31,2420,544,10,10,1
32,2594,599,10,10,1
33,2636,558,10,10,1
34,2448,505,10,10,1
35,2332,543,10,10,1
36,2400,512,10,10,1
37,2374,508,10,10,1
38,2355,514,10,10,1
39,2427,569,10,10,1
40,2301,507,10,10,1
41,2741,580,10,10,1
42,2329,511,10,10,1
43,2336,512,10,10,1
44,2408,538,10,10,1
45,2399,514,10,10,1
46,2359,515,10,10,1
47,2397,509,10,10,1
48,2360,505,10,10,1
49,2431,566,10,10,1
50,2325,506,10,10,1
51,2313,505,10,10,1
52,2392,565,10,10,1
53,2356,508,10,10,1
54,2511,585,10,10,1
55,2402,524,10,10,1
56,2363,507,10,10,1
57,2398,507,10,10,1
58,2335,633,10,10,1
59,2282,511,10,10,1
60,2321,510,10,10,1
61,2508,533,10,10,1
62,2315,559,10,10,1
63,2404,530,10,10,1
64,2314,575,10,10,1
65,2420,770,10,10,1
66,2521,597,10,10,1
67,2683,650,10,10,1
68,2406,633,10,10,1
69,2519,518,10,10,1
70,2428,509,10,10,1
71,2292,508,10,10,1
72,2478,513,10,10,1
73,2333,509,10,10,1
74,2372,506,10,10,1
75,2334,510,10,10,1
76,2386,517,10,10,1
77,2324,513,10,10,1
78,2566,603,10,10,1
79,2336,513,10,10,1
80,2411,510,10,10,1
81,2540,523,10,10,1
82,2486,528,10,10,1
83,2369,575,10,10,1
84,2322,628,10,10,1
85,2445,567,10,10,1
86,2290,511,10,10,1
87,2460,516,10,10,1
88,2364,531,10,10,1
89,2388,509,10,10,1
90,2297,514,10,10,1
91,2452,507,10,10,1
92,2414,534,10,10,1
93,2383,509,10,10,1
94,2316,579,10,10,1
95,2505,567,10,10,1
96,2326,506,10,10,1
97,2323,512,10,10,1
98,2401,510,10,10,1
99,2361,626,10,10,1
100,2402,630,10,10,1
101,2584,508,10,10,1
102,2297,502,10,10,1
103,2380,511,10,10,1
104,2296,508,10,10,1
105,2313,567,10,10,1
106,2415,577,10,10,1
107,2456,515,10,10,1
108,2339,516,10,10,1
109,2334,599,10,10,1
110,2383,503,10,10,1
111,2312,508,10,10,1
112,2384,542,10,10,1
113,2411,563,10,10,1
114,2495,516,10,10,1
115,2447,502,10,10,1
116,2379,513,10,10,1
117,2397,569,10,10,1
118,2445,501,10,10,1
119,2346,511,10,10,1
120,2313,514,10,10,1
121,2369,513,10,10,1
122,2360,518,10,10,1
123,2302,507,10,10,1
124,2298,514,10,10,1
125,2345,508,10,10,1
126,2416,533,10,10,1
127,2563,516,10,10,1
128,2318,510,10,10,1
129,2407,542,10,10,1
130,2517,610,10,10,1
131,2401,527,10,10,1
132,2393,529,10,10,1
133,2418,505,10,10,1
134,2317,512,10,10,1
135,2422,614,10,10,1
136,2280,504,10,10,1
137,2324,507,10,10,1
138,2419,509,10,10,1
139,2368,503,10,10,1
140,2439,532,10,10,1
141,2377,524,10,10,1
142,2317,525,10,10,1
143,2413,508,10,10,1
144,2376,507,10,10,1
145,2405,619,10,10,1
146,2875,997,10,10,1
147,3702,628,10,10,1
148,2472,580,10,10,1
149,2367,545,10,10,1
150,2585,590,10,10,1
151,2643,572,10,10,1
152,2636,568,10,10,1
153,2610,566,10,10,1
154,2781,585,10,10,1
155,2688,565,10,10,1
156,2707,569,10,10,1
157,2668,554,10,10,1
